Date,Open,High,Low,Close,Volume,MA_10,MA_30,K,D,covid
2020-08-06,12894.24023,12971.87012,12851.2002,12913.5,4098100.0,12634.65097799997,12255.203614333306,87.24977658295677,61.84521829323654,0
2020-08-07,12901.42969,12912.62988,12791.17969,12828.87012,3831300.0,12687.133985999973,12294.143620999974,84.05754596152526,76.9798250184221,0
2020-08-10,12786.79981,12933.16016,12786.79981,12894.0,3952000.0,12717.704004999972,12339.189616999973,78.98540170940163,83.43090808462824,0
2020-08-11,12856.45996,12906.00977,12780.19043,12780.19043,3726400.0,12737.050000999972,12377.821290333308,55.61266844926829,72.88520537339873,0
2020-08-12,12713.62988,12730.95996,12625.54004,12670.34961,3440300.0,12749.987988999974,12410.052279999973,36.83685603709178,57.14497539858757,4
2020-08-13,12758.87012,12812.79981,12717.12988,12763.12988,3631900.0,12754.008984999973,12441.985287666641,25.000746334211268,39.15009027352411,0
2020-08-14,12709.96973,12801.30957,12679.19043,12795.45996,3896200.0,12767.074999999973,12471.528614333309,37.63417475803559,33.157259043113214,0
2020-08-17,12813.94043,12956.11035,12800.69043,12956.11035,4310300.0,12811.383007999973,12499.508952666638,66.65470819442288,43.09654309555691,4
2020-08-18,12974.95996,12981.58008,12840.25,12872.13965,3911700.0,12827.604980999973,12525.481283333304,74.8328988349486,59.70726059580269,1
2020-08-19,12904.83984,12950.11035,12778.63965,12778.63965,4459400.0,12825.238964999973,12545.762923999973,67.38317860550767,69.62359521162671,0
2020-08-20,12764.75,12764.75,12144.75977,12362.63965,6063400.0,12770.152929999973,12551.427897999973,42.72872481163798,61.648267417365076,0
2020-08-21,12462.51953,12638.65039,12462.51953,12607.83984,3778800.0,12748.049901999973,12569.233236333303,38.087488155258285,49.39979719080164,1
2020-08-24,12629.78027,12702.94043,12567.9502,12647.12988,3397300.0,12723.362889999973,12583.752246666641,47.1359679754107,42.65072698076932,0
2020-08-25,12706.40039,12814.55957,12698.84961,12758.25,3891600.0,12721.168846999974,12602.060254333306,63.849352179437886,49.690936103369296,0
